inventory_id,product_id,stock_quantity,reorder_level,last_updated
1,1,50,10,"2026-05-23 17:58:42"
2,2,40,10,"2026-05-23 17:58:42"
3,3,25,5,"2026-05-23 17:58:42"
4,4,100,20,"2026-05-23 17:58:42"
5,5,70,15,"2026-05-23 17:58:42"
6,6,80,20,"2026-05-23 17:58:42"
7,7,30,10,"2026-05-23 17:58:42"
8,8,90,20,"2026-05-23 17:58:42"
9,9,60,15,"2026-05-23 17:58:42"
10,10,45,10,"2026-05-23 17:58:42"
11,11,20,5,"2026-05-23 17:58:42"
12,12,18,5,"2026-05-23 17:58:42"
13,13,35,8,"2026-05-23 17:58:42"
14,14,22,5,"2026-05-23 17:58:42"
15,15,110,20,"2026-05-23 17:58:42"
16,16,75,15,"2026-05-23 17:58:42"
17,17,55,10,"2026-05-23 17:58:42"
18,18,40,10,"2026-05-23 17:58:42"
19,19,65,15,"2026-05-23 17:58:42"
20,20,85,20,"2026-05-23 17:58:42"
21,21,50,10,"2026-05-23 17:58:42"
22,22,28,5,"2026-05-23 17:58:42"
23,23,32,8,"2026-05-23 17:58:42"
24,24,44,10,"2026-05-23 17:58:42"
25,25,70,15,"2026-05-23 17:58:42"
26,26,16,5,"2026-05-23 17:58:42"
27,27,24,5,"2026-05-23 17:58:42"
28,28,19,5,"2026-05-23 17:58:42"
29,29,90,20,"2026-05-23 17:58:42"
30,30,45,10,"2026-05-23 17:58:42"
31,31,38,8,"2026-05-23 17:58:42"
32,32,72,15,"2026-05-23 17:58:42"
33,33,41,10,"2026-05-23 17:58:42"
34,34,56,12,"2026-05-23 17:58:42"
35,35,29,6,"2026-05-23 17:58:42"
36,36,66,15,"2026-05-23 17:58:42"
37,37,48,10,"2026-05-23 17:58:42"
38,38,53,12,"2026-05-23 17:58:42"
39,39,61,15,"2026-05-23 17:58:42"
40,40,77,18,"2026-05-23 17:58:42"
