order_id,customer_id,order_date,order_status,total_amount
1,1,"2026-05-23 17:59:50",Delivered,45000.00
2,2,"2026-05-23 17:59:50",Delivered,79999.00
3,3,"2026-05-23 17:59:50",Shipped,95000.00
4,4,"2026-05-23 17:59:50",Pending,999.00
5,5,"2026-05-23 17:59:50",Delivered,2999.00
6,6,"2026-05-23 17:59:50",Cancelled,799.00
7,7,"2026-05-23 17:59:50",Delivered,5999.00
8,8,"2026-05-23 17:59:50",Delivered,499.00
9,9,"2026-05-23 17:59:50",Shipped,2499.00
10,10,"2026-05-23 17:59:50",Pending,1299.00
11,11,"2026-05-23 17:59:50",Delivered,25000.00
12,12,"2026-05-23 17:59:50",Delivered,32000.00
13,13,"2026-05-23 17:59:50",Pending,3499.00
14,14,"2026-05-23 17:59:50",Shipped,55000.00
15,15,"2026-05-23 17:59:50",Delivered,699.00
16,16,"2026-05-23 17:59:50",Delivered,399.00
17,17,"2026-05-23 17:59:50",Pending,1499.00
18,18,"2026-05-23 17:59:50",Delivered,899.00
19,19,"2026-05-23 17:59:50",Shipped,299.00
20,20,"2026-05-23 17:59:50",Delivered,399.00
21,21,"2026-05-23 17:59:50",Delivered,2999.00
22,22,"2026-05-23 17:59:50",Pending,65000.00
23,23,"2026-05-23 17:59:50",Shipped,3999.00
24,24,"2026-05-23 17:59:50",Delivered,999.00
25,25,"2026-05-23 17:59:50",Delivered,7999.00
26,26,"2026-05-23 17:59:50",Pending,2499.00
27,27,"2026-05-23 17:59:50",Delivered,6999.00
28,28,"2026-05-23 17:59:50",Shipped,3499.00
29,29,"2026-05-23 17:59:50",Delivered,1999.00
30,30,"2026-05-23 17:59:50",Pending,7999.00
31,31,"2026-05-23 17:59:50",Delivered,1499.00
32,32,"2026-05-23 17:59:50",Delivered,2999.00
33,33,"2026-05-23 17:59:50",Shipped,899.00
34,34,"2026-05-23 17:59:50",Pending,4599.00
35,35,"2026-05-23 17:59:50",Delivered,599.00
36,36,"2026-05-23 17:59:50",Delivered,2499.00
37,37,"2026-05-23 17:59:50",Pending,1499.00
38,38,"2026-05-23 17:59:50",Delivered,499.00
39,39,"2026-05-23 17:59:50",Shipped,2999.00
40,40,"2026-05-23 17:59:50",Delivered,1999.00
41,1,"2026-05-23 18:01:54",Delivered,45000.00
42,2,"2026-05-23 18:01:54",Delivered,79999.00
43,3,"2026-05-23 18:01:54",Shipped,95000.00
44,4,"2026-05-23 18:01:54",Pending,999.00
45,5,"2026-05-23 18:01:54",Delivered,2999.00
46,6,"2026-05-23 18:01:54",Cancelled,799.00
47,7,"2026-05-23 18:01:54",Delivered,5999.00
48,8,"2026-05-23 18:01:54",Delivered,499.00
49,9,"2026-05-23 18:01:54",Shipped,2499.00
50,10,"2026-05-23 18:01:54",Pending,1299.00
51,11,"2026-05-23 18:01:54",Delivered,25000.00
52,12,"2026-05-23 18:01:54",Delivered,32000.00
53,13,"2026-05-23 18:01:54",Pending,3499.00
54,14,"2026-05-23 18:01:54",Shipped,55000.00
55,15,"2026-05-23 18:01:54",Delivered,699.00
56,16,"2026-05-23 18:01:54",Delivered,399.00
57,17,"2026-05-23 18:01:54",Pending,1499.00
58,18,"2026-05-23 18:01:54",Delivered,899.00
59,19,"2026-05-23 18:01:54",Shipped,299.00
60,20,"2026-05-23 18:01:54",Delivered,399.00
61,21,"2026-05-23 18:01:54",Delivered,2999.00
62,22,"2026-05-23 18:01:54",Pending,65000.00
63,23,"2026-05-23 18:01:54",Shipped,3999.00
64,24,"2026-05-23 18:01:54",Delivered,999.00
65,25,"2026-05-23 18:01:54",Delivered,7999.00
66,26,"2026-05-23 18:01:54",Pending,2499.00
67,27,"2026-05-23 18:01:54",Delivered,6999.00
68,28,"2026-05-23 18:01:54",Shipped,3499.00
69,29,"2026-05-23 18:01:54",Delivered,1999.00
70,30,"2026-05-23 18:01:54",Pending,7999.00
71,31,"2026-05-23 18:01:54",Delivered,1499.00
72,32,"2026-05-23 18:01:54",Delivered,2999.00
73,33,"2026-05-23 18:01:54",Shipped,899.00
74,34,"2026-05-23 18:01:54",Pending,4599.00
75,35,"2026-05-23 18:01:54",Delivered,599.00
76,36,"2026-05-23 18:01:54",Delivered,2499.00
77,37,"2026-05-23 18:01:54",Pending,1499.00
78,38,"2026-05-23 18:01:54",Delivered,499.00
79,39,"2026-05-23 18:01:54",Shipped,2999.00
80,40,"2026-05-23 18:01:54",Delivered,1999.00
81,1,"2026-05-25 15:59:14",Delivered,45000.00
82,2,"2026-05-25 15:59:14",Delivered,79999.00
83,3,"2026-05-25 15:59:14",Shipped,95000.00
84,4,"2026-05-25 15:59:14",Pending,999.00
85,5,"2026-05-25 15:59:14",Delivered,2999.00
86,6,"2026-05-25 15:59:14",Cancelled,799.00
87,7,"2026-05-25 15:59:14",Delivered,5999.00
88,8,"2026-05-25 15:59:14",Delivered,499.00
89,9,"2026-05-25 15:59:14",Shipped,2499.00
90,10,"2026-05-25 15:59:14",Pending,1299.00
91,11,"2026-05-25 15:59:14",Delivered,25000.00
92,12,"2026-05-25 15:59:14",Delivered,32000.00
93,13,"2026-05-25 15:59:14",Pending,3499.00
94,14,"2026-05-25 15:59:14",Shipped,55000.00
95,15,"2026-05-25 15:59:14",Delivered,699.00
96,16,"2026-05-25 15:59:14",Delivered,399.00
97,17,"2026-05-25 15:59:14",Pending,1499.00
98,18,"2026-05-25 15:59:14",Delivered,899.00
99,19,"2026-05-25 15:59:14",Shipped,299.00
100,20,"2026-05-25 15:59:14",Delivered,399.00
101,21,"2026-05-25 15:59:14",Delivered,2999.00
102,22,"2026-05-25 15:59:14",Pending,65000.00
103,23,"2026-05-25 15:59:14",Shipped,3999.00
104,24,"2026-05-25 15:59:14",Delivered,999.00
105,25,"2026-05-25 15:59:14",Delivered,7999.00
106,26,"2026-05-25 15:59:14",Pending,2499.00
107,27,"2026-05-25 15:59:14",Delivered,6999.00
108,28,"2026-05-25 15:59:14",Shipped,3499.00
109,29,"2026-05-25 15:59:14",Delivered,1999.00
110,30,"2026-05-25 15:59:14",Pending,7999.00
111,31,"2026-05-25 15:59:14",Delivered,1499.00
112,32,"2026-05-25 15:59:14",Delivered,2999.00
113,33,"2026-05-25 15:59:14",Shipped,899.00
114,34,"2026-05-25 15:59:14",Pending,4599.00
115,35,"2026-05-25 15:59:14",Delivered,599.00
116,36,"2026-05-25 15:59:14",Delivered,2499.00
117,37,"2026-05-25 15:59:14",Pending,1499.00
118,38,"2026-05-25 15:59:14",Delivered,499.00
119,39,"2026-05-25 15:59:14",Shipped,2999.00
120,40,"2026-05-25 15:59:14",Delivered,1999.00
